strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Turks and Caicos Islands/UWI-8549244b/2014|EPI_ISL_17456044	Illumina	hChikV	III-Asian	EPI_ISL_17456044	2014-06-11	North America	Turks and Caicos Islands	unknown	unknown
hChikV/Dominica/UWI-c0a88557/2014|EPI_ISL_17456045	Illumina	hChikV	III-Asian	EPI_ISL_17456045	2014-01-28	North America	Dominica	unknown	unknown
hChikV/Dominica/UWI-73d1e88a/2014|EPI_ISL_17456046	Illumina	hChikV	III-Asian	EPI_ISL_17456046	2014-01-30	North America	Dominica	unknown	unknown
hChikV/Saint Kitts and Nevis/UWI-635ecdb9/2014|EPI_ISL_17456047	Illumina	hChikV	III-Asian	EPI_ISL_17456047	2014-03-11	North America	Saint Kitts and Nevis	unknown	unknown
hChikV/Saint Lucia/UWI-111dac94/2014|EPI_ISL_17456048	Illumina	hChikV	III-Asian	EPI_ISL_17456048	2014-04-22	North America	Saint Lucia	unknown	unknown
hChikV/Haiti/UWI-cdda47ea/2014|EPI_ISL_17456049	Illumina	hChikV	III-Asian	EPI_ISL_17456049	2014-04-27	North America	Haiti	unknown	unknown
hChikV/British Virgin Islands/UWI-1400309/2014|EPI_ISL_17456050	Illumina	hChikV	III-Asian	EPI_ISL_17456050	2014-01-23	North America	British Virgin Islands	unknown	unknown
hChikV/Trinidad and Tobago/UWI-VE5320/2014|EPI_ISL_17456051	Illumina	hChikV	III-Asian	EPI_ISL_17456051	2014-08-30	South America	Trinidad and Tobago	unknown	unknown
hChikV/Trinidad and Tobago/UWI-774767d8/2014|EPI_ISL_17456052	Illumina	hChikV	III-Asian	EPI_ISL_17456052	2014-09-12	South America	Trinidad and Tobago	unknown	unknown
hChikV/Jamaica/UWI-ac8a20fb/2014|EPI_ISL_17456053	Illumina	hChikV	III-Asian	EPI_ISL_17456053	2014-08-06	North America	Jamaica	unknown	unknown
hChikV/Trinidad and Tobago/UWI-d3c933ec/2014|EPI_ISL_17456054	Illumina	hChikV	III-Asian	EPI_ISL_17456054	2014-09-11	South America	Trinidad and Tobago	unknown	unknown
hChikV/Montserrat/UWI-e4be8e51/2014|EPI_ISL_17456055	Illumina	hChikV	III-Asian	EPI_ISL_17456055	2014-07-24	North America	Montserrat	unknown	unknown
hChikV/Saint Vincent and the Grenadines/UWI-1af35149/2014|EPI_ISL_17456056	Illumina	hChikV	III-Asian	EPI_ISL_17456056	2014-05-22	North America	Saint Vincent and the Grenadines	unknown	unknown
hChikV/Grenada/UWI-425ae75f/2014|EPI_ISL_17456057	Illumina	hChikV	III-Asian	EPI_ISL_17456057	2014-06-16	North America	Grenada	unknown	unknown
hChikV/Trinidad and Tobago/UWI-56c5f68b/2014|EPI_ISL_17456058	Illumina	hChikV	III-Asian	EPI_ISL_17456058	2014-09-20	South America	Trinidad and Tobago	unknown	unknown
hChikV/Barbados/UWI-fed1e5d3/2014|EPI_ISL_17456059	Illumina	hChikV	III-Asian	EPI_ISL_17456059	2014-08-06	North America	Barbados	unknown	unknown
hChikV/Turks and Caicos Islands/UWI-0073afd5/2014|EPI_ISL_17456060	Illumina	hChikV	III-Asian	EPI_ISL_17456060	2014-06-05	North America	Turks and Caicos Islands	unknown	unknown
hChikV/Trinidad and Tobago/UWI-9e560948/2014|EPI_ISL_17456061	Illumina	hChikV	III-Asian	EPI_ISL_17456061	2014-09-20	South America	Trinidad and Tobago	unknown	unknown
