strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Brazil/TO-IAL-170547498/2023|EPI_ISL_18095526	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095526	2023-03-15	South America	Brazil	Tocantins	Palmas
hChikV/Brazil/TO-IAL-170552745/2023|EPI_ISL_18095527	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095527	2023-04-17	South America	Brazil	Tocantins	Palmas
hChikV/Brazil/TO-IAL-170553315/2023|EPI_ISL_18095528	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095528	2023-04-19	South America	Brazil	Tocantins	Porto Nacional
hChikV/Brazil/TO-IAL-170553466/2023|EPI_ISL_18095529	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095529	2023-04-19	South America	Brazil	Tocantins	Palmas
hChikV/Brazil/TO-IAL-170553249/2023|EPI_ISL_18095530	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095530	2023-04-15	South America	Brazil	Tocantins	Cristalandia
hChikV/Brazil/TO-IAL-170554284/2023|EPI_ISL_18095531	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095531	2023-04-26	South America	Brazil	Tocantins	Palmas
hChikV/Brazil/TO-IAL-170554418/2023|EPI_ISL_18095532	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095532	2023-04-27	South America	Brazil	Tocantins	Palmas
hChikV/Brazil/TO-IAL-170554490/2023|EPI_ISL_18095533	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095533	2023-04-27	South America	Brazil	Tocantins	Divinopolis do Tocantins
hChikV/Brazil/TO-IAL-170554164/2023|EPI_ISL_18095534	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095534	2023-05-02	South America	Brazil	Tocantins	Lagoa da Confusao
hChikV/Brazil/TO-IAL-170555549/2023|EPI_ISL_18095535	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095535	2023-05-05	South America	Brazil	Tocantins	Palmas
hChikV/Brazil/TO-IAL-170555406/2023|EPI_ISL_18095536	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095536	2023-05-04	South America	Brazil	Tocantins	Cariri do Tocantins
hChikV/Brazil/TO-IAL-170555304/2023|EPI_ISL_18095537	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095537	2023-05-02	South America	Brazil	Tocantins	Gurupi
hChikV/Brazil/TO-IAL-170556107/2023|EPI_ISL_18095538	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095538	2023-05-09	South America	Brazil	Tocantins	Porto Nacional
hChikV/Brazil/un-CPHLGM-292662730/2022|EPI_ISL_18106751	Illumina	hChikV	II-ECSA	EPI_ISL_18106751	2022-10-24	South America	Brazil	unknown	unknown
hChikV/Brazil/PE-CPHLGM-292682763/2022|EPI_ISL_18106752	Illumina	hChikV	II-ECSA	EPI_ISL_18106752	2022-10-24	South America	Brazil	Pernambuco	unknown
hChikV/Brazil/un-CPHLGM-292746651/2022|EPI_ISL_18106753	Illumina	hChikV	II-ECSA	EPI_ISL_18106753	2022-11-08	South America	Brazil	unknown	unknown
hChikV/Brazil/AC-CPHLGM-292901572/2023|EPI_ISL_18106754	Illumina	hChikV	II-ECSA	EPI_ISL_18106754	2023-03-22	South America	Brazil	Acre	unknown
hChikV/Brazil/un-CPHLGM-292851994/2023|EPI_ISL_18106756	Illumina	hChikV	II-ECSA	EPI_ISL_18106756	2023-02-15	South America	Brazil	unknown	unknown
hChikV/Brazil/BA-CPHLGM-292842657/2023|EPI_ISL_18106757	Illumina	hChikV	II-ECSA	EPI_ISL_18106757	2023-02-13	South America	Brazil	Bahia	unknown
hChikV/Brazil/un-CPHLGM-292775033/2022|EPI_ISL_18106758	Illumina	hChikV	II-ECSA	EPI_ISL_18106758	2022-12-14	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292836830/2023|EPI_ISL_18106759	Illumina	hChikV	II-ECSA	EPI_ISL_18106759	2023-02-03	South America	Brazil	unknown	unknown
hChikV/Brazil/GO-CPHLGM-292828671/2023|EPI_ISL_18106760	Illumina	hChikV	II-ECSA	EPI_ISL_18106760	2023-02-02	South America	Brazil	Goias	unknown
hChikV/Brazil/RO-CPHLGM-292837694/2023|EPI_ISL_18106761	Illumina	hChikV	II-ECSA	EPI_ISL_18106761	2023-02-08	South America	Brazil	Rondonia	unknown
hChikV/Brazil/un-CPHLGM-292875426/2023|EPI_ISL_18106762	Illumina	hChikV	II-ECSA	EPI_ISL_18106762	2023-03-03	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292829619/2023|EPI_ISL_18106763	Illumina	hChikV	II-ECSA	EPI_ISL_18106763	2023-01-30	South America	Brazil	unknown	unknown
hChikV/Brazil/PE-CPHLGM-292823917/2023|EPI_ISL_18106764	Illumina	hChikV	II-ECSA	EPI_ISL_18106764	2023-01-24	South America	Brazil	Pernambuco	unknown
hChikV/Brazil/AP-CPHLGM-292860984/2023|EPI_ISL_18106765	Illumina	hChikV	II-ECSA	EPI_ISL_18106765	2023-02-28	South America	Brazil	Amapa	unknown
hChikV/Brazil/un-CPHLGM-292885587/2023|EPI_ISL_18106766	Illumina	hChikV	II-ECSA	EPI_ISL_18106766	2023-03-14	South America	Brazil	unknown	unknown
hChikV/Brazil/BA-CPHLGM-292823084/2023|EPI_ISL_18106767	Illumina	hChikV	II-ECSA	EPI_ISL_18106767	2023-01-31	South America	Brazil	Bahia	unknown
hChikV/Brazil/RJ-CPHLGM-292865073/2023|EPI_ISL_18106768	Illumina	hChikV	II-ECSA	EPI_ISL_18106768	2023-03-01	South America	Brazil	Rio de Janeiro	unknown
hChikV/Brazil/BA-CPHLGM-292817209/2023|EPI_ISL_18106769	Illumina	hChikV	II-ECSA	EPI_ISL_18106769	2023-01-26	South America	Brazil	Bahia	unknown
hChikV/Brazil/un-CPHLGM-292836001/2023|EPI_ISL_18106770	Illumina	hChikV	II-ECSA	EPI_ISL_18106770	2023-02-03	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292874247/2023|EPI_ISL_18106771	Illumina	hChikV	II-ECSA	EPI_ISL_18106771	2023-03-07	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292889791/2023|EPI_ISL_18106772	Illumina	hChikV	II-ECSA	EPI_ISL_18106772	2023-03-15	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292870898/2023|EPI_ISL_18106773	Illumina	hChikV	II-ECSA	EPI_ISL_18106773	2023-03-06	South America	Brazil	unknown	unknown
hChikV/Brazil/PE-CPHLGM-292838190/2023|EPI_ISL_18106774	Illumina	hChikV	II-ECSA	EPI_ISL_18106774	2023-02-07	South America	Brazil	Pernambuco	unknown
hChikV/Brazil/un-CPHLGM-292879257/2023|EPI_ISL_18106775	Illumina	hChikV	II-ECSA	EPI_ISL_18106775	2023-03-08	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292887359/2023|EPI_ISL_18106776	Illumina	hChikV	II-ECSA	EPI_ISL_18106776	2023-03-14	South America	Brazil	unknown	unknown
hChikV/Brazil/RO-CPHLGM-292818307/2023|EPI_ISL_18106777	Illumina	hChikV	II-ECSA	EPI_ISL_18106777	2023-01-26	South America	Brazil	Rondonia	unknown
hChikV/Brazil/un-CPHLGM-292723665/2022|EPI_ISL_18106778	Illumina	hChikV	II-ECSA	EPI_ISL_18106778	2022-11-18	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292869444/2023|EPI_ISL_18106779	Illumina	hChikV	II-ECSA	EPI_ISL_18106779	2023-03-01	South America	Brazil	unknown	unknown
hChikV/Brazil/un-CPHLGM-292825694/2023|EPI_ISL_18106780	Illumina	hChikV	II-ECSA	EPI_ISL_18106780	2023-01-31	South America	Brazil	unknown	unknown
hChikV/Brazil/BA-292723665/2022|EPI_ISL_18123967	Illumina	hChikV	II-ECSA	EPI_ISL_18123967	2022-11-18	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292879257/2023|EPI_ISL_18123968	Illumina	hChikV	II-ECSA	EPI_ISL_18123968	2023-03-08	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292901572/2023|EPI_ISL_18123969	Illumina	hChikV	II-ECSA	EPI_ISL_18123969	2023-03-22	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292865073/2023|EPI_ISL_18123970	Illumina	hChikV	II-ECSA	EPI_ISL_18123970	2023-03-01	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292842657/2023|EPI_ISL_18123971	Illumina	hChikV	II-ECSA	EPI_ISL_18123971	2023-02-13	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292823084/2023|EPI_ISL_18123972	Illumina	hChikV	II-ECSA	EPI_ISL_18123972	2023-01-31	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292818307/2023|EPI_ISL_18123973	Illumina	hChikV	II-ECSA	EPI_ISL_18123973	2023-01-26	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292860984/2023|EPI_ISL_18123974	Illumina	hChikV	II-ECSA	EPI_ISL_18123974	2023-02-28	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292828671/2023|EPI_ISL_18123975	Illumina	hChikV	II-ECSA	EPI_ISL_18123975	2023-02-02	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292829619/2023|EPI_ISL_18123976	Illumina	hChikV	II-ECSA	EPI_ISL_18123976	2023-01-30	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292851994/2023|EPI_ISL_18123977	Illumina	hChikV	II-ECSA	EPI_ISL_18123977	2023-02-15	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292885587/2023|EPI_ISL_18123978	Illumina	hChikV	II-ECSA	EPI_ISL_18123978	2023-03-14	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292836830/2023|EPI_ISL_18123979	Illumina	hChikV	II-ECSA	EPI_ISL_18123979	2023-02-03	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292875426/2023|EPI_ISL_18123980	Illumina	hChikV	II-ECSA	EPI_ISL_18123980	2023-03-03	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292746651/2022|EPI_ISL_18123981	Illumina	hChikV	II-ECSA	EPI_ISL_18123981	2022-11-08	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292775033/2022|EPI_ISL_18123982	Illumina	hChikV	II-ECSA	EPI_ISL_18123982	2022-12-14	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292825694/2023|EPI_ISL_18123983	Illumina	hChikV	II-ECSA	EPI_ISL_18123983	2023-01-31	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292870898/2023|EPI_ISL_18123984	Illumina	hChikV	II-ECSA	EPI_ISL_18123984	2023-03-06	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292662730/2022|EPI_ISL_18123985	Illumina	hChikV	II-ECSA	EPI_ISL_18123985	2022-10-24	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292682763/2022|EPI_ISL_18123986	Illumina	hChikV	II-ECSA	EPI_ISL_18123986	2022-10-24	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292823917/2023|EPI_ISL_18123988	Illumina	hChikV	II-ECSA	EPI_ISL_18123988	2023-01-24	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292838190/2023|EPI_ISL_18123989	Illumina	hChikV	II-ECSA	EPI_ISL_18123989	2023-02-07	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292874247/2023|EPI_ISL_18123990	Illumina	hChikV	II-ECSA	EPI_ISL_18123990	2023-03-07	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292817209/2023|EPI_ISL_18123991	Illumina	hChikV	II-ECSA	EPI_ISL_18123991	2023-01-26	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292837694/2023|EPI_ISL_18123992	Illumina	hChikV	II-ECSA	EPI_ISL_18123992	2023-02-08	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292889791/2023|EPI_ISL_18123993	Illumina	hChikV	II-ECSA	EPI_ISL_18123993	2023-03-15	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292836001/2023|EPI_ISL_18123994	Illumina	hChikV	II-ECSA	EPI_ISL_18123994	2023-02-03	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292887359/2023|EPI_ISL_18123995	Illumina	hChikV	II-ECSA	EPI_ISL_18123995	2023-03-14	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292869444/2023|EPI_ISL_18123996	Illumina	hChikV	II-ECSA	EPI_ISL_18123996	2023-03-01	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292910242/2023|EPI_ISL_18123997	Illumina	hChikV	II-ECSA	EPI_ISL_18123997	2023-03-24	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292914599/2023|EPI_ISL_18123998	Illumina	hChikV	II-ECSA	EPI_ISL_18123998	2023-03-27	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292918485/2023|EPI_ISL_18123999	Illumina	hChikV	II-ECSA	EPI_ISL_18123999	2023-03-29	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292919393/2023|EPI_ISL_18124000	Illumina	hChikV	II-ECSA	EPI_ISL_18124000	2023-03-29	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292920139/2023|EPI_ISL_18124001	Illumina	hChikV	II-ECSA	EPI_ISL_18124001	2023-03-31	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292934806/2023|EPI_ISL_18124002	Illumina	hChikV	II-ECSA	EPI_ISL_18124002	2023-04-03	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292935673/2023|EPI_ISL_18124003	Illumina	hChikV	II-ECSA	EPI_ISL_18124003	2023-04-10	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292954138/2023|EPI_ISL_18124004	Illumina	hChikV	II-ECSA	EPI_ISL_18124004	2023-04-20	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292961168/2023|EPI_ISL_18124005	Illumina	hChikV	II-ECSA	EPI_ISL_18124005	2023-04-25	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292963966/2023|EPI_ISL_18124006	Illumina	hChikV	II-ECSA	EPI_ISL_18124006	2023-04-26	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292968676/2023|EPI_ISL_18124007	Illumina	hChikV	II-ECSA	EPI_ISL_18124007	2023-04-26	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292969289/2023|EPI_ISL_18124008	Illumina	hChikV	II-ECSA	EPI_ISL_18124008	2023-04-28	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292970334/2023|EPI_ISL_18124009	Illumina	hChikV	II-ECSA	EPI_ISL_18124009	2023-04-28	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292975137/2023|EPI_ISL_18124010	Illumina	hChikV	II-ECSA	EPI_ISL_18124010	2023-05-03	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292978746/2023|EPI_ISL_18124011	Illumina	hChikV	II-ECSA	EPI_ISL_18124011	2023-05-03	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292988014/2023|EPI_ISL_18124012	Illumina	hChikV	II-ECSA	EPI_ISL_18124012	2023-05-09	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292988383/2023|EPI_ISL_18124013	Illumina	hChikV	II-ECSA	EPI_ISL_18124013	2023-04-18	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292991982/2023|EPI_ISL_18124014	Illumina	hChikV	II-ECSA	EPI_ISL_18124014	2023-05-10	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292996733/2023|EPI_ISL_18124015	Illumina	hChikV	II-ECSA	EPI_ISL_18124015	2023-05-05	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292997622/2023|EPI_ISL_18124016	Illumina	hChikV	II-ECSA	EPI_ISL_18124016	2023-05-10	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-292997949/2023|EPI_ISL_18124017	Illumina	hChikV	II-ECSA	EPI_ISL_18124017	2023-05-10	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293003430/2023|EPI_ISL_18124018	Illumina	hChikV	II-ECSA	EPI_ISL_18124018	2023-05-18	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293010721/2023|EPI_ISL_18124019	Illumina	hChikV	II-ECSA	EPI_ISL_18124019	2023-05-16	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293015043/2023|EPI_ISL_18124020	Illumina	hChikV	II-ECSA	EPI_ISL_18124020	2023-05-24	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293015243/2023|EPI_ISL_18124021	Illumina	hChikV	II-ECSA	EPI_ISL_18124021	2023-05-24	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293017762/2023|EPI_ISL_18124022	Illumina	hChikV	II-ECSA	EPI_ISL_18124022	2023-05-24	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293019663/2023|EPI_ISL_18124023	Illumina	hChikV	II-ECSA	EPI_ISL_18124023	2023-05-26	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293021871/2023|EPI_ISL_18124024	Illumina	hChikV	II-ECSA	EPI_ISL_18124024	2023-05-29	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293024638/2023|EPI_ISL_18124025	Illumina	hChikV	II-ECSA	EPI_ISL_18124025	2023-04-28	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293025777/2023|EPI_ISL_18124026	Illumina	hChikV	II-ECSA	EPI_ISL_18124026	2023-05-29	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293030112/2023|EPI_ISL_18124027	Illumina	hChikV	II-ECSA	EPI_ISL_18124027	2023-06-01	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293031779/2023|EPI_ISL_18124028	Illumina	hChikV	II-ECSA	EPI_ISL_18124028	2023-06-02	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293033356/2023|EPI_ISL_18124029	Illumina	hChikV	II-ECSA	EPI_ISL_18124029	2023-06-02	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-293033985/2023|EPI_ISL_18124030	Illumina	hChikV	II-ECSA	EPI_ISL_18124030	2023-06-02	South America	Brazil	Bahia	unknown
hChikV/China/GD-GCDC-XN14662/2019|EPI_ISL_18131736	Sanger	hChikV	II-ECSA	EPI_ISL_18131736	2019-07-01	Asia	China	Guangdong	Guangzhou
hChikV/China/GD-GCDC-XN17157/2018|EPI_ISL_18131737	Sanger	hChikV	II-ECSA	EPI_ISL_18131737	2018-07-01	Asia	China	Guangdong	Guangzhou
hChikV/China/GD-GCDC-XN50776/2019|EPI_ISL_18131738	Sanger	hChikV	II-ECSA	EPI_ISL_18131738	2019-07-01	Asia	China	Guangdong	Guangzhou
hChikV/China/GD-GCDC-XN50799/2019|EPI_ISL_18131739	Sanger	hChikV	II-ECSA	EPI_ISL_18131739	2019-07-01	Asia	China	Guangdong	Guangzhou
hChikV/China/GD-GCDC-XN40163/2017|EPI_ISL_18131740	Sanger	hChikV	II-ECSA	EPI_ISL_18131740	2017-07-01	Asia	China	Guangdong	Guangzhou
hChikV/Brazil/ES-LACENES-321401445/2023|EPI_ISL_18220031	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220031	2023-04-29	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321401530/2023|EPI_ISL_18220032	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220032	2023-04-29	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321401037/2023|EPI_ISL_18220033	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220033	2023-04-28	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321403714/2023|EPI_ISL_18220034	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220034	2023-05-05	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321405695/2023|EPI_ISL_18220035	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220035	2023-05-10	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321405724/2023|EPI_ISL_18220036	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220036	2023-05-10	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321404296/2023|EPI_ISL_18220037	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220037	2023-05-07	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321403818/2023|EPI_ISL_18220038	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220038	2023-05-05	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321403537/2023|EPI_ISL_18220039	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220039	2023-05-03	South America	Brazil	Espirito Santo	Ibiracu
hChikV/Brazil/ES-LACENES-321401651/2023|EPI_ISL_18220040	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220040	2023-04-30	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321403815/2023|EPI_ISL_18220041	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220041	2023-05-05	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321402916/2023|EPI_ISL_18220042	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220042	2023-05-04	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321401196/2023|EPI_ISL_18220043	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220043	2023-04-27	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321403567/2023|EPI_ISL_18220044	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220044	2023-05-04	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321401478/2023|EPI_ISL_18220045	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220045	2023-04-29	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321404007/2023|EPI_ISL_18220046	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220046	2023-05-06	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321405628/2023|EPI_ISL_18220047	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220047	2023-05-09	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321405747/2023|EPI_ISL_18220048	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220048	2023-05-10	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321405755/2023|EPI_ISL_18220049	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220049	2023-05-10	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321401912/2023|EPI_ISL_18220050	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220050	2023-05-02	South America	Brazil	Espirito Santo	Guarapari
hChikV/Brazil/ES-LACENES-321405734/2023|EPI_ISL_18220051	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220051	2023-05-10	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321405145/2023|EPI_ISL_18220052	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220052	2023-05-08	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321405098/2023|EPI_ISL_18220054	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220054	2023-05-05	South America	Brazil	Espirito Santo	Fundao
hChikV/Brazil/ES-LACENES-321406494/2023|EPI_ISL_18220055	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220055	2023-05-06	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321405943/2023|EPI_ISL_18220056	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220056	2023-03-27	South America	Brazil	Espirito Santo	Muniz Freire
hChikV/Brazil/ES-LACENES-321361933/2023|EPI_ISL_18220057	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220057	2023-02-13	South America	Brazil	Espirito Santo	Alfredo Chaves
hChikV/Brazil/ES-LACENES-321405509/2023|EPI_ISL_18220058	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220058	2023-05-05	South America	Brazil	Espirito Santo	Sooretama
hChikV/Brazil/ES-LACENES-321406288/2023|EPI_ISL_18220059	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220059	2023-05-11	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321405534/2023|EPI_ISL_18220060	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220060	2023-05-09	South America	Brazil	Espirito Santo	Sooretama
hChikV/Brazil/ES-LACENES-321406639/2023|EPI_ISL_18220061	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220061	2023-05-11	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321406904/2023|EPI_ISL_18220062	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220062	2023-05-11	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321406729/2023|EPI_ISL_18220063	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220063	2023-05-11	South America	Brazil	Espirito Santo	Vila Velha
hChikV/Brazil/ES-LACENES-321407449/2023|EPI_ISL_18220064	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220064	2023-05-15	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321407420/2023|EPI_ISL_18220065	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220065	2023-05-14	South America	Brazil	Espirito Santo	Vila Velha
hChikV/Brazil/ES-LACENES-321407334/2023|EPI_ISL_18220066	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220066	2023-05-15	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321407406/2023|EPI_ISL_18220067	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18220067	2023-05-13	South America	Brazil	Espirito Santo	Vila Velha
hChikV/Brazil/DF-LACENGO-2130231801/2023|EPI_ISL_18230334	Illumina	hChikV	II-ECSA	EPI_ISL_18230334	2023-01-13	South America	Brazil	Distrito Federal	unknown
hChikV/Brazil/DF-LACENGO-2163388403/2023|EPI_ISL_18230335	Illumina	hChikV	II-ECSA	EPI_ISL_18230335	2023-03-27	South America	Brazil	Distrito Federal	unknown
hChikV/Brazil/DF-LACENGO-2177289005/2023|EPI_ISL_18230336	Illumina	hChikV	II-ECSA	EPI_ISL_18230336	2023-04-24	South America	Brazil	Distrito Federal	unknown
hChikV/Brazil/DF-LACENGO-2184353807/2023|EPI_ISL_18230337	Illumina	hChikV	II-ECSA	EPI_ISL_18230337	2023-05-09	South America	Brazil	Distrito Federal	unknown
hChikV/Brazil/MS-LACENGO-500731859/2023|EPI_ISL_18230338	Illumina	hChikV	II-ECSA	EPI_ISL_18230338	2023-03-16	South America	Brazil	Mato Grosso do Sul	unknown
hChikV/Brazil/GO-LACENGO-520413145/2023|EPI_ISL_18230339	Illumina	hChikV	II-ECSA	EPI_ISL_18230339	2023-05-11	South America	Brazil	Goias	unknown
